BCRData,upperLimit,lowerLimit
650NITS_W255_FOS BLSH dimLine_v_Index_notch,8.04,0
650NITS_W255_FOS BLSH dimLine_v_subRegionMax,7.64,0
650NITS_W255_FOS BLSH NLD,6.9,0
650NITS_W255_FOS BLSH NotchFL_IndB,7.1,0
650NITS_W255_FOS BLSH whiteSpot_cen,3.3,0
650NITS_W255_FOS BLSH dimBlob_max_cen,5.4,0
650NITS_W255_FOS BLSH dimBlob_max_edg,5.4,0
650NITS_W255_FOS BLSH litBlob_max_cen,4.9,0
650NITS_W255_FOS BLSH litBlob_max_edg,6.9,0
650NITS_W255_FOS BLSH Band_H_d12_cen,1,0
650NITS_W255_FOS BLSH Band_V_d12_cen,1.1,0
650NITS_W255_FOS CU DUVCen,5.82,0
650NITS_W255_FOS CU DUVEdge,7.32,0
650NITS_W255_FOS CU LUCen,0.42,0
650NITS_W255_FOS CU LUEdge,0.536,0
650NITS_W63_FOS WU dYExtraAratio,1.03,0.97
650NITS_W63_FOS WU dYExtraBratio,1.03,0.97
650NITS_W63_FOS WU dYExtraCratio,1.06,0.94
650NITS_W63_FOS WU dYExtraDratio,1.06,0.94
650NITS_W63_FOS WU duvExtraA,0.0026,0
650NITS_W63_FOS WU duvExtraB,0.0026,0
650NITS_W63_FOS WU duvExtraC,0.0052,0
650NITS_W63_FOS WU duvExtraD,0.0052,0
650NITS_W63_FOS WU dYOverPanelratio,100,68.4
650NITS_W63_FOS WU duvOverPanel,0.0108,0
650NITS_W63_FOS BLSH Band_H_bright,5.24,0
650NITS_W63_FOS BLSH Band_H_bright_notch,5.24,0
650NITS_W63_FOS BLSH Band_H_dark,0,-5.24
650NITS_W63_FOS BLSH Band_H_dark_notch,0,-5.24
650NITS_W63_FOS BLSH Band_V_bright,5.24,0
650NITS_W63_FOS BLSH Band_V_bright_notch,5.24,0
650NITS_W63_FOS BLSH Band_V_dark,0,-5.24
650NITS_W63_FOS BLSH Band_V_dark_notch,0,-5.24
650NITS_W63_FOS BLSH HL_Index,0.8,0
650NITS_W63_FOS BLSH HL_Index_notch,0.8,0
650NITS_W63_FOS BLSH HLsub_Index,0.8,0
650NITS_W63_FOS BLSH VL_Index,0.8,0
650NITS_W63_FOS BLSH VL_Index_notch,0.8,0
650NITS_W63_FOS BLSH VLsub_Index,0.8,0
650NITS_W63_FOS BLSH dimLine_h_Index,6.22,0
650NITS_W63_FOS BLSH dimLine_h_subRegionMax,6.62,0
650NITS_W63_FOS BLSH dimLine_v_Index,5.22,0
650NITS_W63_FOS BLSH dimLine_v_Index_notch,6.54,0
650NITS_W63_FOS BLSH dimLine_v_subRegionMax,5.14,0
650NITS_W63_FOS BLSH NLD,9.6,0
650NITS_W63_FOS BLSH NotchFL_IndB,7.8,0
650NITS_W63_FOS BLSH whiteSpot_cen,4.56,0
650NITS_W63_FOS BLSH whiteSpot_cor,4.56,0
650NITS_W63_FOS BLSH whiteSpot_edg,4.56,0
650NITS_W63_FOS BLSH dimBlob_max_cen,5.4,0
650NITS_W63_FOS BLSH dimBlob_max_edg,5.4,0
650NITS_W63_FOS BLSH litBlob_max_cen,6.2,0
650NITS_W63_FOS BLSH litBlob_max_edg,6.2,0
650NITS_W63_FOS BLSH Band_H_d12_cen,1.48,0
650NITS_W63_FOS BLSH Band_V_d12_cen,1.48,0
650NITS_W63_FOS BLSH litPixel_max_cen,8.8,0
650NITS_W63_FOS BLSH litPixel_max_edg,8.8,0
650NITS_W63_FOS BLSH WKI,0.58,0
650NITS_W63_FOS CU DUVCen,9.9,0
650NITS_W63_FOS CU DUVEdge,11.14,0
650NITS_W63_FOS CU LUCen,0.42,0
650NITS_W63_FOS CU LUEdge,0.536,0
650NITS_W255_GDS GDS GDS2_Dimen1,2.77,0
650NITS_W255_GDS GDS GDS2_Size,13,0
650NITS_W255_GDS GDS GDS2_Size_Edge,6.5,0
650NITS_W255_GDS GDS GDS2_Size_Spline,13,0
650NITS_W255_GDS GDS GDS_HIAA_score_large,1.5,0
650NITS_W255_GDS GDS GDS_HIAA_score_small,1.5,0
650NITS_W10_FOS WU dYExtraAratio,1.06,0.94
650NITS_W10_FOS WU dYExtraBratio,1.06,0.94
650NITS_W10_FOS WU dYExtraCratio,1.12,0.93
650NITS_W10_FOS WU dYExtraDratio,1.07,0.93
650NITS_W10_FOS WU duvExtraA,0.0052,0
650NITS_W10_FOS WU duvExtraB,0.0052,0
650NITS_W10_FOS WU duvExtraC,0.0065,0
650NITS_W10_FOS WU duvExtraD,0.0065,0
650NITS_W10_FOS WU dYOverPanelratio,100,55
650NITS_W10_FOS WU duvOverPanel,0.015,0
650NITS_W10_FOS WU CUTOUT1_contrast_pct,8,0
650NITS_W10_FOS BLSH HL_Index,1.8,0
650NITS_W10_FOS BLSH HLsub_Index,4.5,0
650NITS_W10_FOS BLSH VL_Index,0.8,0
650NITS_W10_FOS BLSH VLsub_Index,0.8,0
650NITS_W10_FOS BLSH dimLine_h_Index,27.5,0
650NITS_W10_FOS BLSH dimLine_h_subRegionMax,28.5,0
650NITS_W10_FOS BLSH dimLine_v_Index,26.5,0
650NITS_W10_FOS BLSH dimLine_v_subRegionMax,26.5,0
650NITS_W10_FOS BLSH NLD,32.5,0
650NITS_W10_FOS BLSH NotchFL_IndB,19.5,0
650NITS_W10_FOS BLSH whiteSpot_cen,13,0
650NITS_W10_FOS BLSH litBlob_max_cen,19,0
650NITS_W10_FOS BLSH litBlob_max_edg,19,0
650NITS_W10_FOS BLSH Band_H_d12_cen,3.7,0
650NITS_W10_FOS BLSH Band_V_d12_cen,3.7,0
650NITS_W10_FOS BLSH litPixel_max_cen,55,0
650NITS_W10_FOS BLSH WKI,2.3,0
650NITS_W10_FOS CU LUCen,2.2,0
650NITS_W10_FOS CU LUEdge,2.3,0
10NITS_W31_FOS WU dYExtraAratio,1.15,0.85
10NITS_W31_FOS WU dYExtraBratio,1.15,0.85
10NITS_W31_FOS WU dYExtraCratio,1.35,0.65
10NITS_W31_FOS WU dYExtraDratio,1.35,0.65
10NITS_W31_FOS WU duvExtraA,0.0169,0
10NITS_W31_FOS WU duvExtraB,0.0169,0
10NITS_W31_FOS WU duvExtraC,0.0325,0
10NITS_W31_FOS WU duvExtraD,0.0325,0
10NITS_W31_FOS WU dYOverPanelratio,100,55
10NITS_W31_FOS WU duvOverPanel,0.054,0
10NITS_W31_FOS BLSH NLD,58.5,0
10NITS_W31_FOS BLSH NotchFL_IndB,32.5,0
2175NITS MEAS_W255_APL30 W255_APL30_Y,2393,1957
2175NITS MEAS_W255_APL30 W255_APL30_duv,0.0048,0
1600NITS MEAS_W255_APL70 W255_APL70_Y,1760,1440
1600NITS MEAS_W255_APL70 W255_APL70_duv,0.006,0
1200NITS MEAS_W255 W255_Y,1320,1080
1200NITS MEAS_W255 W255_duv,0.0048,0
650NITS MEAS_W255 W255_Y,715,585
650NITS MEAS_W255 W255_duv,0.0048,0
650NITS MEAS_W151 W151_duv,0.0056,0
650NITS MEAS_W87 W87_duv,0.0056,0
650NITS MEAS_W51 W51_duv,0.006,0
650NITS_GL GL gamma,2.27,2.13
100NITS MEAS_W255 W255_Y,115,85
100NITS MEAS_W255 W255_duv,0.0048,0
10NITS_LL LL red_crush,1.16,0.49
10NITS_LL LL green_crush,1.16,0.49
10NITS_LL LL blue_crush,1.112,0.71
COLORSPEC COLORSPEC W255_60d_polygonIndex,0.8,-0.8
COLORSPEC COLORSPEC W255_45d_polygonIndex,0.8,-0.8
COLORSPEC COLORSPEC W255_30d_polygonIndex,0.8,-0.8
