key,spec
B_DefaultResDTN_RXCM_F2_IMGALL_REG14,[1.11555~0]
B_DefaultResDTN_RXCM_F2_IMGUI_REG13,[0.586116~0.000000001]
B_DefaultResDTN_RXCM_F2_IMGUI_REG14,[0.6185~0]
B_DefaultResDTN_RXCM_F3_IMGALL_REG13,[0.75375~0.000000001]
B_DefaultResDTN_RXCM_F3_IMGALL_REG14,[1.11555~0]
B_DefaultResDTN_RXCM_F3_IMGUI_REG13,[0.46632~0.000000001]
B_DefaultResDTN_RXCM_F3_IMGUI_REG14,[0.696666~0]
B_DefaultResDTN_RXCM_F4_IMGALL_REG13,[0.75375~0.000000001]
B_DefaultResDTN_RXCM_F4_IMGALL_REG14,[1.11555~0]
B_DefaultResDTN_RXCM_F4_IMGUI_REG13,[0.812241~0.000000001]
B_DefaultResDTN_RXCM_F4_IMGUI_REG14,[2.5706895~0]
B_DefaultResDTN_SPA_F0_IMGALL_REG15,[0.150147~0.000000001]
B_DefaultResDTN_SPA_F0_IMGALL_REG16,[0.15075~0]
B_DefaultResDTN_SPA_F0_IMGUI_REG15,[0.0402~0.000000001]
B_DefaultResDTN_SPA_F0_IMGUI_REG16,[0.0603~0]
B_DefaultResDTN_SPA_F2_IMGALL_REG15,[0.1005~0.000000001]
B_DefaultResDTN_SPA_F2_IMGALL_REG16,[0.15075~0]
B_DefaultResDTN_SPA_F2_IMGUI_REG15,[0.0402~0.000000001]
B_DefaultResDTN_SPA_F2_IMGUI_REG16,[0.0603~0]
B_DefaultResDTN_SPA_F3_IMGALL_REG15,[0.1926585~0.000000001]
B_DefaultResDTN_SPA_F3_IMGALL_REG16,[0.2278335~0]
B_DefaultResDTN_SPA_F3_IMGUI_REG15,[0.0402~0.000000001]
B_DefaultResDTN_SPA_F3_IMGUI_REG16,[0.0603~0]
B_DefaultResDTN_SPA_F4_IMGALL_REG15,[0.1005~0.000000001]
B_DefaultResDTN_SPA_F4_IMGALL_REG16,[0.15075~0]
B_DefaultResDTN_SPA_F4_IMGUI_REG15,[0.0402~0.000000001]
B_DefaultResDTN_SPA_F4_IMGUI_REG16,[0.0603~0]
B_DefaultResDTX_MC_F0_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTX_MC_F0_IMGALL_REG02,[2.7135~0]
B_DefaultResDTX_MC_F0_IMGALL_REG03,[2.9145~0]
B_DefaultResDTX_MC_F0_IMGALL_REG04,[3.1155~0]
B_DefaultResDTX_MC_F0_IMGALL_REG05,[13.467~0]
B_DefaultResDTX_MC_F0_IMGALL_REG06,[5.226~0]
B_DefaultResDTX_MC_F0_IMGALL_REG07,[4.422~0]
B_DefaultResDTX_MC_F0_IMGALL_REG08,[8.9445~0]
B_DefaultResDTX_MC_F0_IMGALL_REG09,[6.1305~0]
B_DefaultResDTX_MC_F0_IMGALL_REG10,[15.477~0]
B_DefaultResDTX_MC_F0_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTX_MC_F0_IMGUI_REG02,[1.1055~0]
B_DefaultResDTX_MC_F0_IMGUI_REG03,[1.206~0]
B_DefaultResDTX_MC_F0_IMGUI_REG04,[1.206~0]
B_DefaultResDTX_MC_F0_IMGUI_REG05,[5.427~0]
B_DefaultResDTX_MC_F0_IMGUI_REG06,[2.1105~0]
B_DefaultResDTX_MC_F0_IMGUI_REG07,[1.809~0]
B_DefaultResDTX_MC_F0_IMGUI_REG08,[3.5175~0]
B_DefaultResDTX_MC_F0_IMGUI_REG09,[2.412~0]
B_DefaultResDTX_MC_F0_IMGUI_REG10,[6.231~0]
B_DefaultResDTX_MC_F2_IMGALL_REG01,[2.5125~0.000000001]
B_DefaultResDTX_MC_F2_IMGALL_REG02,[2.7135~0]
B_DefaultResDTX_MC_F2_IMGALL_REG03,[2.9145~0]
B_DefaultResDTX_MC_F2_IMGALL_REG04,[3.1155~0]
B_DefaultResDTX_MC_F2_IMGALL_REG05,[13.467~0]
B_DefaultResDTX_MC_F2_IMGALL_REG06,[5.226~0]
B_DefaultResDTX_MC_F2_IMGALL_REG07,[4.422~0]
B_DefaultResDTX_MC_F2_IMGALL_REG08,[10.347279~0]
B_DefaultResDTX_MC_F2_IMGALL_REG09,[6.1305~0]
B_DefaultResDTX_MC_F2_IMGALL_REG10,[15.477~0]
B_DefaultResDTX_MC_F2_IMGUI_REG01,[1.005~0.000000001]
B_DefaultResDTX_MC_F2_IMGUI_REG02,[1.1055~0]
B_DefaultResDTX_MC_F2_IMGUI_REG03,[1.206~0]
B_DefaultResDTX_MC_F2_IMGUI_REG04,[1.206~0]
B_DefaultResDTX_MC_F2_IMGUI_REG05,[5.427~0]
B_DefaultResDTX_MC_F2_IMGUI_REG06,[5.098566~0]
B_DefaultResDTX_MC_F2_IMGUI_REG07,[1.809~0]
B_DefaultResDTX_MC_F2_IMGUI_REG08,[3.5175~0]
B_DefaultResDTX_MC_F2_IMGUI_REG09,[2.412~0]
